순위,지역,시도,시군구,종합점수,점수_산업성,점수_성장성,점수_수요성,유형,LQ,화물차,영업용화물,승용차,차량_총,화물차비율,영업용비중,화물차_증가율,인구_증가율,디커플링,가속도,추세지속성,영업용전환율,안정성,인구수,배후인구,면적,인구밀도,인구1천명당화물차
18,경상남도 양산시,경상남도,양산시,67.1,44.2,73.5,83.6,미개척,0.743,23100,10152,141675,205572,11.24,43.95,6.34,0.27,6.07,1.77,0.61,0.6,0.94,360462,2688349,77.3,4663.2,64.1
18,경기도 안양시 만안구,경기도,안양시 만안구,67.1,76.9,55.8,68.5,포화,1.668,25485,5938,69927,100963,25.24,23.3,0.76,-0.02,0.78,1.4,0.78,0.3,0.97,232998,1571668,128.1,1818.9,109.4
21,전남광주통합특별시 광산구,전남광주통합특별시,광산구,66.5,63.6,74.7,61.3,성장 중,1.066,34402,10874,144264,213359,16.12,31.61,9.4,-1.68,11.08,3.92,0.71,0.48,0.7,381988,3457208,364.3,1048.6,90.1
22,충청북도 청주시 흥덕구,충청북도,청주시 흥덕구,66.2,50.4,79.4,68.8,성장 중,1.038,25118,5330,100283,160029,15.7,21.22,8.51,1.0,7.51,4.95,0.81,0.52,0.75,292277,1253014,232.9,1254.9,85.9
23,경상북도 경산시,경상북도,경산시,65.8,64.5,72.1,60.8,성장 중,1.155,28069,6755,97294,160626,17.47,24.07,8.3,-0.77,9.07,3.74,0.66,0.73,0.48,262395,1930768,296.8,884.1,107.0
24,대전광역시 동구,대전광역시,동구,65.7,88.3,46.0,62.7,포화,1.813,25992,8936,66162,94750,27.43,34.38,0.82,-0.61,1.43,1.68,0.65,0.48,0.56,217293,1420834,105.3,2063.6,119.6
25,서울특별시 강서구,서울특별시,강서구,65.6,89.5,28.6,78.8,포화,1.37,64849,29642,211943,312850,20.73,45.71,-4.64,-0.63,-4.01,4.12,0.32,0.42,0.44,545212,1778909,111.7,4881.0,118.9
26,충청북도 진천군,충청북도,진천군,65.3,92.7,67.0,36.1,포화,1.389,11100,5842,32726,52812,21.02,52.63,-2.65,-0.32,-2.33,5.97,1.0,0.66,0.91,85388,161336,183.8,464.6,130.0
27,충청남도 당진시,충청남도,당진시,65.1,70.0,75.3,50.1,성장 중,1.121,17072,5684,67422,100679,16.96,33.29,6.69,-0.07,6.76,7.09,0.8,0.47,0.74,172024,742743,426.6,403.2,99.2
28,경상남도 창원시 의창구,경상남도,창원시 의창구,65.0,88.1,40.8,66.0,포화,1.839,35158,11224,80882,126394,27.82,31.92,-0.12,0.5,-0.62,7.04,0.47,0.09,0.7,209308,1443106,147.9,1415.2,168.0
29,인천광역시 강화군,인천광역시,강화군,64.9,88.4,69.0,37.4,성장 중,1.432,6428,3125,22301,29663,21.67,48.62,4.47,-0.07,4.54,4.65,0.53,0.66,0.75,69282,535239,741.8,93.4,92.8
30,대구광역시 동구,대구광역시,동구,64.7,51.6,76.0,66.6,성장 중,1.173,23210,3685,95117,130816,17.74,15.88,7.46,-0.55,8.01,5.81,1.0,0.4,0.71,337352,619185,70.0,4819.3,68.8
31,충청북도 음성군,충청북도,음성군,64.5,85.4,54.4,53.6,성장 중,1.485,8609,3670,29870,38322,22.46,42.63,7.87,3.57,4.3,-4.28,0.15,0.57,0.91,95694,829505,283.3,337.8,90.0
32,대구광역시 북구,대구광역시,북구,64.2,79.8,48.6,64.1,성장 중,1.233,39464,17081,163796,211548,18.65,43.28,7.34,-1.09,8.43,-1.15,0.18,0.36,0.72,405511,1075848,159.6,2540.8,97.3
33,충청남도 서산시,충청남도,서산시,64.0,77.3,61.6,53.0,성장 중,1.17,18040,7429,61512,101938,17.7,41.18,5.04,-1.09,6.13,-0.59,0.71,0.48,0.76,170687,795606,60.5,2821.3,105.7
34,경상남도 김해시,경상남도,김해시,63.6,46.0,54.9,89.8,정체,0.965,43021,9485,227444,294734,14.6,22.05,-0.14,0.03,-0.17,-1.29,1.0,0.65,0.76,531406,4999794,70.3,7559.1,81.0
35,제주특별자치도 서귀포시,제주특별자치도,서귀포시,63.5,89.2,46.2,55.0,포화,1.512,19480,8084,61570,85170,22.87,41.5,0.5,-0.93,1.43,-0.38,1.0,0.53,0.33,177607,1121378,94.3,1883.4,109.7
35,경상북도 안동시,경상북도,안동시,63.5,77.8,64.8,47.8,성장 중,1.218,12258,5917,44916,66528,18.43,48.27,7.64,-1.31,8.95,-1.8,0.44,0.71,0.79,151305,1048652,105.0,1441.0,81.0
37,인천광역시 서구 통합권역,인천광역시,서구 통합권역,63.2,54.9,46.6,88.2,포화,1.073,62258,11467,276995,383496,16.23,18.42,2.26,3.17,-0.91,2.74,0.5,0.49,0.64,663491,1770811,205.8,3224.0,93.8
38,충청북도 옥천군,충청북도,옥천군,62.9,75.1,65.0,48.6,성장 중,1.252,5742,1813,18412,30309,18.94,31.57,10.6,4.68,5.92,2.34,0.86,0.44,0.54,50549,434190,109.1,463.3,113.6
39,경기도 평택시,경기도,평택시,62.1,57.2,38.1,90.9,성장 중,1.127,44059,11466,194381,258463,17.05,26.02,2.82,2.97,-0.15,-1.29,0.6,0.41,0.57,617903,3220708,228.3,2706.5,71.3
39,인천광역시 남동구,인천광역시,남동구,62.1,68.4,47.4,70.4,성장 중,1.121,48120,14743,200703,283682,16.96,30.64,4.81,-0.67,5.48,-2.18,0.7,0.36,0.59,476168,861042,104.8,4543.6,101.1
41,서울특별시 서초구,서울특별시,서초구,62.0,53.2,47.8,85.0,포화,1.029,26437,9036,122498,169899,15.56,34.18,0.45,1.32,-0.87,0.12,0.59,0.66,0.67,410544,1781224,87.7,4681.2,64.4
41,대구광역시 달성군,대구광역시,달성군,62.0,69.3,71.6,45.1,성장 중,1.182,27040,7740,101331,151192,17.88,28.62,6.84,-1.49,8.33,4.16,0.6,0.51,0.73,251569,787744,343.0,733.4,107.5
43,경기도 안양시 동안구,경기도,안양시 동안구,61.9,49.2,65.2,71.4,미개척,0.98,28833,6295,144541,194580,14.82,21.83,6.09,-0.43,6.52,3.74,0.7,0.31,0.74,326747,2330166,207.4,1575.4,88.2
44,서울특별시 성동구,서울특별시,성동구,61.6,83.4,46.9,54.5,성장 중,1.649,39124,11379,98930,156892,24.94,29.08,3.67,0.54,3.13,3.88,0.52,0.26,0.58,272352,1055243,1830.0,148.8,143.7
45,충청북도 청주시 청원구,충청북도,청주시 청원구,61.0,99.7,43.5,39.7,포화,1.844,31356,19519,71108,112424,27.89,62.25,-0.4,-1.4,1.0,1.06,0.4,0.6,0.67,185617,581363,318.9,582.1,168.9
45,경기도 부천시,경기도,부천시,61.0,56.1,48.6,78.2,성장 중,1.113,57965,14789,226549,344125,16.84,25.51,7.47,-1.05,8.52,2.3,0.13,0.0,0.67,751353,2518231,156.5,4801.0,77.1
47,전남광주통합특별시 남구,전남광주통합특별시,남구,60.9,67.8,54.2,60.7,포화,1.265,22361,4895,75335,116820,19.14,21.89,0.36,-1.22,1.58,0.73,0.68,0.36,0.97,204953,1665766,62.4,3284.5,109.1
48,전남광주통합특별시 나주시,전남광주통합특별시,나주시,60.3,84.0,45.4,51.4,포화,1.307,12383,5397,37627,62642,19.77,43.58,0.48,-0.46,0.94,-3.33,0.51,0.53,0.84,116451,975097,126.2,922.7,106.3
48,대구광역시 서구,대구광역시,서구,60.3,78.7,38.7,63.4,포화,1.322,20049,6275,65438,100225,20.0,31.3,1.44,1.66,-0.22,0.09,0.36,0.29,0.83,162799,1245854,136.7,1190.9,123.2
48,경상남도 진주시,경상남도,진주시,60.3,76.9,30.6,73.5,포화,1.574,37594,8959,117407,157860,23.81,23.83,1.63,-0.84,2.47,1.59,0.13,0.28,0.45,333800,2838175,110.1,3031.8,112.6
48,서울특별시 동작구,서울특별시,동작구,60.3,44.0,59.2,77.6,미개척,0.944,31872,5712,142558,223138,14.28,17.92,3.45,-0.67,4.12,2.9,0.75,0.41,0.66,369156,3243113,98.7,3740.2,86.3
52,경기도 성남시 분당구,경기도,성남시 분당구,59.9,36.2,59.7,83.8,정체,0.942,32128,3431,151333,225398,14.25,10.68,1.37,-0.61,1.98,2.41,0.37,0.94,0.83,463920,2924515,22.9,20258.5,69.3
53,경기도 여주시,경기도,여주시,59.7,72.2,55.0,51.9,포화,1.113,10444,4270,38501,62020,16.84,40.88,2.26,-0.81,3.07,-0.35,0.5,0.7,0.76,113029,567453,41.2,2743.4,92.4
53,경기도 광주시,경기도,광주시,59.7,45.1,53.8,80.1,정체,0.977,30842,6559,139250,208632,14.78,21.27,-1.89,0.75,-2.64,-0.16,0.72,0.66,0.9,398659,1833613,192.5,2071.0,77.4
55,울산광역시 동구,울산광역시,동구,59.5,87.2,50.6,40.6,포화,1.469,14897,6301,47327,67007,22.23,42.3,1.61,-1.53,3.14,5.31,0.32,0.4,0.73,147245,556891,116.9,1259.6,101.2
56,충청북도 괴산군,충청북도,괴산군,59.4,80.1,60.8,37.3,성장 중,1.264,4385,1583,17869,22922,19.13,36.1,6.38,3.98,2.4,0.2,0.48,0.64,0.83,37187,331801,353.7,105.1,117.9
57,대구광역시 달서구,대구광역시,달서구,59.3,42.8,66.3,68.9,성장 중,1.043,31197,6519,139749,197673,15.78,20.9,10.05,-1.36,11.41,-3.55,0.78,0.28,0.94,511591,2215576,248.2,2061.2,61.0
57,경기도 의왕시,경기도,의왕시,59.3,66.8,43.5,67.6,성장 중,1.262,14751,3974,50112,77258,19.09,26.94,3.06,5.73,-2.67,-1.73,0.63,0.65,0.6,165036,1320559,134.8,1224.3,89.4
59,서울특별시 구로구,서울특별시,구로구,59.2,59.5,46.9,71.2,정체,0.995,34099,11546,165058,226594,15.05,33.86,-0.54,-0.83,0.29,1.41,0.59,0.43,0.76,380635,2071926,181.0,2103.0,89.6
59,서울특별시 도봉구,서울특별시,도봉구,59.2,73.8,36.8,67.0,포화,1.123,25980,11120,113965,152957,16.99,42.8,-6.41,-1.0,-5.41,-0.73,0.73,0.61,0.61,296296,2526166,166.9,1775.3,87.7
59,부산광역시 수영구,부산광역시,수영구,59.2,60.6,59.0,58.1,성장 중,1.152,11351,3560,44421,65126,17.43,31.36,7.12,-0.66,7.78,-0.0,0.47,1.0,0.51,167985,1258982,84.3,1992.7,67.6
59,경기도 수원시 장안구,경기도,수원시 장안구,59.2,73.8,43.6,60.2,성장 중,1.245,30419,9291,103226,161424,18.84,30.54,2.34,-0.91,3.25,1.98,0.26,0.34,0.72,268519,1329758,150.2,1787.7,113.3
63,경상남도 사천시,경상남도,사천시,59.1,79.3,57.3,40.6,성장 중,1.397,9056,3392,28987,42836,21.14,37.46,6.51,-0.27,6.78,-0.99,0.6,0.69,0.5,107548,374480,373.6,287.9,84.2
64,전남광주통합특별시 함평군,전남광주통합특별시,함평군,58.9,72.4,72.4,32.0,성장 중,1.391,3137,762,9469,14908,21.04,24.29,7.13,-0.14,7.27,1.42,0.42,0.76,0.9,29576,158541,54.1,546.7,106.1
64,전북특별자치도 완주군,전북특별자치도,완주군,58.9,69.2,46.0,61.5,성장 중,1.097,7233,3345,26490,43610,16.59,46.25,8.65,0.14,8.51,0.42,0.41,0.0,0.58,100163,842569,31.4,3189.9,72.2
66,전남광주통합특별시 동구,전남광주통합특별시,동구,58.8,82.4,46.6,47.4,성장 중,1.331,12280,4416,39830,61008,20.13,35.96,3.4,0.55,2.85,4.63,0.23,0.4,0.62,104885,518616,316.4,331.5,117.1
67,제주특별자치도 제주시,제주특별자치도,제주시,58.7,51.4,41.6,83.1,포화,1.029,26561,9336,124988,170676,15.56,35.15,-2.41,-0.36,-2.05,-2.45,0.74,0.62,0.69,481486,1931391,41.3,11658.3,55.2
68,경기도 파주시,경기도,파주시,58.5,18.3,64.7,92.5,미개척,0.728,24900,3802,157486,225966,11.02,15.27,7.24,2.64,4.6,1.55,0.38,0.55,0.91,532338,2113817,32.7,16279.4,46.8
69,서울특별시 중랑구,서울특별시,중랑구,58.4,20.2,84.1,70.8,미개척,0.619,17371,4233,112224,185402,9.37,24.37,11.72,-0.25,11.97,1.99,0.99,0.73,0.75,374510,1779610,285.0,1314.1,46.4
70,울산광역시 남구,울산광역시,남구,58.3,74.3,32.6,68.1,포화,1.325,36452,9907,114153,181768,20.05,27.18,0.1,0.09,0.01,0.46,0.75,0.05,0.42,303419,530731,81.8,3709.3,120.1
71,경상북도 포항시 북구,경상북도,포항시 북구,58.2,36.4,64.8,73.3,미개척,0.804,17201,5203,88257,141354,12.17,30.25,7.42,1.16,6.26,-2.44,1.0,0.46,0.76,274875,1801997,202.5,1357.4,62.6
71,경기도 의정부시,경기도,의정부시,58.2,47.0,57.9,69.6,미개척,0.801,31299,13461,173216,258205,12.12,43.01,5.86,0.08,5.78,-0.22,0.51,0.47,0.8,459526,1511277,658.9,697.4,68.1
73,경상남도 창원시 성산구,경상남도,창원시 성산구,58.0,65.0,46.1,63.0,포화,1.05,17090,7856,77866,107602,15.88,45.97,-2.01,0.33,-2.34,2.76,0.82,0.29,0.75,244460,2280522,903.1,270.7,69.9
74,경기도 고양시 일산서구,경기도,고양시 일산서구,57.5,63.2,48.0,61.2,성장 중,1.144,27447,6782,101994,158609,17.3,24.71,3.15,-1.44,4.59,1.48,0.42,0.23,0.79,274582,1173576,34.7,7913.0,100.0
74,전남광주통합특별시 순천시,전남광주통합특별시,순천시,57.5,60.7,49.9,62.0,포화,1.002,19747,8500,98475,130217,15.16,43.04,0.78,-0.56,1.34,-3.55,0.67,0.64,0.75,273226,687605,105.3,2594.7,72.3
76,충청남도 천안시 서북구,충청남도,천안시 서북구,56.9,45.2,48.2,77.4,포화,1.064,27900,3374,134878,173366,16.09,12.09,0.41,0.31,0.1,1.61,0.5,0.65,0.66,401319,1890579,239.1,1678.5,69.5
77,전북특별자치도 군산시,전북특별자치도,군산시,56.8,40.8,71.4,58.1,미개척,0.853,13994,4781,70987,108412,12.91,34.16,8.94,-0.43,9.37,6.7,0.51,0.54,0.66,254737,655309,168.9,1508.2,54.9
78,경상남도 창원시 진해구,경상남도,창원시 진해구,56.6,71.8,45.4,52.7,포화,1.397,23442,3938,72225,110951,21.13,16.8,-1.68,-1.89,0.21,3.95,0.37,0.41,0.78,182245,1492305,61.1,2982.7,128.6
79,경기도 양평군,경기도,양평군,56.5,51.6,68.6,49.4,성장 중,1.056,8425,2437,39814,52759,15.97,28.93,3.98,0.14,3.84,6.92,0.53,0.5,0.88,126377,851911,402.3,314.1,66.7
80,서울특별시 양천구,서울특별시,양천구,56.4,65.5,34.4,69.2,포화,1.365,32798,8022,113208,158826,20.65,24.46,-1.1,-1.57,0.47,-1.47,0.35,0.76,0.52,418298,2562392,138.8,3013.7,78.4
81,강원특별자치도 삼척시,강원특별자치도,삼척시,56.3,80.8,55.3,32.9,성장 중,1.333,5037,2176,17172,24979,20.16,43.2,2.67,-1.57,4.24,7.56,0.7,0.33,0.56,59985,564398,84.8,707.4,84.0
82,충청남도 보령시,충청남도,보령시,56.1,82.8,59.9,25.6,포화,1.843,14919,3868,34189,53514,27.88,25.93,0.43,-1.63,2.06,5.83,0.87,0.65,0.34,90915,477472,505.6,179.8,164.1
83,부산광역시 금정구,부산광역시,금정구,56.0,61.6,59.5,46.9,포화,1.035,13205,6163,60829,84302,15.66,46.67,1.94,-1.19,3.13,-0.93,0.92,0.54,0.78,204698,1289904,396.4,516.4,64.5
84,경기도 포천시,경기도,포천시,55.8,50.0,59.0,58.5,미개척,0.915,9120,3488,49471,65857,13.85,38.25,4.52,-0.33,4.85,-0.21,0.72,0.57,0.64,139891,475339,24.8,5640.8,65.2
85,경상북도 경주시,경상북도,경주시,55.2,40.7,63.6,61.4,정체,0.947,19740,2572,99315,137810,14.32,13.03,1.57,-0.57,2.14,2.97,0.63,0.55,0.85,242142,1686079,213.7,1133.1,81.5
86,경기도 안성시,경기도,안성시,54.9,30.0,75.2,59.5,미개척,0.506,9007,3947,86139,117732,7.65,43.82,7.79,1.55,6.24,5.72,0.8,0.64,0.58,198626,929639,369.1,538.1,45.3
86,경기도 용인시 처인구,경기도,용인시 처인구,54.9,58.0,31.9,74.8,성장 중,1.198,18419,5240,73905,101607,18.13,28.45,5.53,1.64,3.89,-4.62,0.33,0.33,0.46,286304,1651248,184.7,1550.1,64.3
88,서울특별시 종로구,서울특별시,종로구,54.5,56.8,59.4,47.4,포화,1.317,10486,524,36403,52650,19.92,5.0,-0.73,-1.23,0.5,3.57,0.85,0.65,0.65,134509,645393,68.2,1972.3,78.0
89,경기도 시흥시,경기도,시흥시,54.4,63.9,18.6,80.8,포화,1.001,43845,18784,222417,289601,15.14,42.84,-3.95,0.1,-4.05,-8.0,0.42,0.49,0.47,512758,3549793,384.9,1332.2,85.5
90,충청북도 청주시 서원구,충청북도,청주시 서원구,54.3,44.5,45.5,72.8,미개척,0.918,9739,3499,45774,70123,13.89,35.93,5.18,4.0,1.18,0.79,0.97,0.0,0.55,187267,783676,36.2,5173.1,52.0
91,강원특별자치도 홍천군,강원특별자치도,홍천군,53.9,59.8,71.8,30.0,성장 중,1.063,4624,1604,17277,28749,16.08,34.69,6.44,-0.85,7.29,3.11,0.56,0.59,0.8,65616,154396,131.4,499.4,70.5
91,경기도 군포시,경기도,군포시,53.9,48.8,57.7,55.3,미개척,0.973,18718,5400,79278,127188,14.72,28.85,6.78,-1.38,8.16,1.49,0.78,0.37,0.38,248228,1768486,183.4,1353.5,75.4
91,전남광주통합특별시 여수시,전남광주통합특별시,여수시,53.9,53.6,50.5,57.7,정체,0.968,23388,6756,103592,159710,14.64,28.89,-0.92,-1.84,0.92,5.66,0.72,0.31,0.69,259568,2008376,126.1,2058.4,90.1
94,경상북도 상주시,경상북도,상주시,53.4,78.4,58.0,23.7,성장 중,1.262,9385,3468,30068,49161,19.09,36.95,3.43,-1.9,5.33,-1.68,0.59,0.45,0.94,88907,341035,344.6,258.0,105.6
95,경상북도 문경시,경상북도,문경시,53.0,68.5,66.9,23.6,포화,1.125,4955,1969,17984,29117,17.02,39.74,1.72,-2.07,3.79,2.42,0.47,0.72,0.99,64439,488280,295.8,217.8,76.9
96,서울특별시 성북구,서울특별시,성북구,52.6,33.7,41.6,82.6,미개척,0.85,31614,5092,176203,245769,12.86,16.11,12.2,-0.67,12.87,-2.05,0.1,0.0,0.63,418696,3270690,35.7,11728.2,75.5
97,서울특별시 금천구,서울특별시,금천구,52.5,59.1,39.0,59.3,포화,1.246,19283,3041,75460,102277,18.85,15.77,1.29,-0.55,1.84,-4.11,0.37,0.51,0.74,221274,532595,69.6,3179.2,87.1
97,부산광역시 동래구,부산광역시,동래구,52.5,36.8,71.9,48.8,미개척,0.785,13514,5348,76550,113886,11.87,39.57,8.41,-1.31,9.72,1.96,0.45,0.56,0.85,269843,1691160,945.9,285.3,50.1
99,전남광주통합특별시 서구,전남광주통합특별시,서구,52.3,41.4,46.0,69.4,미개척,0.964,17195,4277,88337,117975,14.58,24.87,6.28,-0.69,6.97,-3.02,0.27,0.39,0.75,273487,1384493,27.2,10054.7,62.9
99,서울특별시 중구,서울특별시,중구,52.3,65.4,50.2,41.2,성장 중,1.085,11489,3566,50724,69974,16.42,31.04,3.43,-1.07,4.5,-5.5,0.28,0.52,1.0,116191,1011673,366.7,316.9,98.9
99,서울특별시 강남구,서울특별시,강남구,52.3,31.5,55.5,69.8,정체,0.791,30387,8807,193013,254126,11.96,28.98,-0.81,-0.66,-0.15,4.15,0.67,0.58,0.71,545620,940915,223.3,2443.4,55.7
102,부산광역시 남구,부산광역시,남구,52.2,31.2,47.5,77.9,정체,0.795,12060,3667,70544,100305,12.02,30.41,-2.2,1.14,-3.34,1.56,0.72,0.34,0.94,253781,1524749,48.6,5221.8,47.5
102,전북특별자치도 진안군,전북특별자치도,진안군,52.2,64.8,67.2,24.6,성장 중,1.057,1533,1006,6631,9588,15.99,65.62,8.33,2.8,5.53,1.13,0.59,0.4,0.93,24798,60096,1830.0,13.6,61.8
102,충청남도 아산시,충청남도,아산시,52.2,40.2,27.9,88.6,정체,0.851,17319,6414,87577,134523,12.87,37.03,-7.75,1.88,-9.63,1.0,0.38,0.3,0.81,363241,3031655,74.6,4869.2,47.7
105,충청남도 예산군,충청남도,예산군,51.9,56.2,69.1,30.4,성장 중,1.179,5124,1318,19819,28738,17.83,25.72,6.3,-0.88,7.18,-0.92,0.79,0.72,0.72,77939,154898,153.5,507.7,65.7
106,전남광주통합특별시 담양군,전남광주통합특별시,담양군,51.8,85.4,41.0,29.1,포화,1.582,6505,1982,16906,27180,23.93,30.47,0.3,-0.78,1.08,1.69,0.2,0.51,0.7,43861,341929,189.5,231.5,148.3
107,부산광역시 영도구,부산광역시,영도구,51.5,71.4,43.8,39.2,포화,1.175,8667,3093,35457,48767,17.77,35.69,-5.19,-1.89,-3.3,4.54,0.87,0.45,0.54,99965,375239,35.0,2856.1,86.7
108,대전광역시 중구,대전광역시,중구,51.4,46.3,50.0,57.8,미개척,0.929,18048,4897,82547,128484,14.05,27.13,2.45,-0.92,3.37,2.41,0.26,0.93,0.54,223188,1873021,236.8,942.5,80.9
109,강원특별자치도 동해시,강원특별자치도,동해시,51.2,64.8,49.5,39.4,포화,1.095,7822,2398,29106,47229,16.56,30.66,0.42,-1.35,1.77,-0.78,0.64,0.51,0.76,85315,489317,58.6,1455.9,91.7
110,전북특별자치도 부안군,전북특별자치도,부안군,51.0,94.5,40.1,18.5,포화,1.569,5924,2694,18226,24965,23.73,45.48,0.62,-1.14,1.76,2.09,0.67,0.27,0.45,46775,189481,1038.4,45.0,126.6
111,경상남도 거창군,경상남도,거창군,50.9,60.5,64.1,28.1,성장 중,1.043,3286,1547,12911,20829,15.78,47.08,12.28,-0.83,13.11,3.79,0.4,0.47,0.61,58611,269790,297.4,197.1,56.1
112,강원특별자치도 양구군,강원특별자치도,양구군,49.7,77.6,57.0,14.6,성장 중,1.491,1736,558,5237,7697,22.55,32.14,5.54,-0.64,6.18,1.29,0.76,0.15,0.72,20338,124707,984.9,20.6,85.4
113,전남광주통합특별시 광양시,전남광주통합특별시,광양시,49.6,50.6,43.4,54.9,성장 중,1.012,12824,3263,53209,83789,15.31,25.44,3.0,0.44,2.56,2.62,0.3,0.3,0.69,155662,640330,167.0,932.1,82.4
113,강원특별자치도 화천군,강원특별자치도,화천군,49.6,62.8,59.5,26.4,정체,0.947,1949,882,8567,13601,14.33,45.25,-0.55,0.84,-1.39,5.34,0.58,0.59,0.86,22717,123959,135.4,167.8,85.8
113,경기도 수원시 영통구,경기도,수원시 영통구,49.6,52.5,29.7,66.6,포화,1.003,33856,8174,151031,223175,15.17,24.14,-6.16,-0.3,-5.86,-4.29,0.76,0.09,0.83,360686,2191742,679.7,530.7,93.9
113,울산광역시 울주군,울산광역시,울주군,49.6,49.7,34.6,64.6,미개척,0.924,18356,5434,88156,131334,13.98,29.6,5.17,-0.15,5.32,-0.79,0.33,0.23,0.43,217832,1347311,123.9,1758.1,84.3
113,전북특별자치도 무주군,전북특별자치도,무주군,49.6,66.5,58.2,24.0,성장 중,1.249,2034,568,8239,10760,18.9,27.93,4.38,2.22,2.16,1.05,0.76,0.39,0.78,23378,48149,796.6,29.3,87.0
118,경기도 용인시 기흥구,경기도,용인시 기흥구,49.5,6.1,59.6,82.8,미개척,0.33,9406,2038,123412,188111,5.0,21.67,7.61,0.0,7.61,-5.45,0.73,0.18,0.95,432384,1633069,37.5,11530.2,21.8
