지역,연월,인구수,화물차수
강원특별자치도 삼척시,202501,61293,4842
강원특별자치도 삼척시,202502,61065,4818
강원특별자치도 삼척시,202503,61381,4910
강원특별자치도 삼척시,202504,61313,4911
강원특별자치도 삼척시,202505,61256,4881
강원특별자치도 삼척시,202506,61141,4925
강원특별자치도 삼척시,202507,60940,4785
강원특별자치도 삼척시,202508,60794,4914
강원특별자치도 삼척시,202509,60767,5025
강원특별자치도 삼척시,202510,60655,5052
강원특별자치도 삼척시,202511,60523,4893
강원특별자치도 삼척시,202512,60340,4905
강원특별자치도 삼척시,202601,60138,4997
강원특별자치도 삼척시,202602,59968,4973
강원특별자치도 삼척시,202603,60287,4978
강원특별자치도 삼척시,202604,60299,4861
강원특별자치도 삼척시,202605,60248,5092
강원특별자치도 삼척시,202606,60138,5060
강원특별자치도 삼척시,202607,59985,5083
강원특별자치도 속초시,202307,82076,2091
강원특별자치도 속초시,202308,81974,2115
강원특별자치도 속초시,202309,81875,2094
강원특별자치도 속초시,202310,81816,2125
강원특별자치도 속초시,202311,81753,2069
강원특별자치도 속초시,202312,81716,2112
강원특별자치도 속초시,202401,81689,2096
강원특별자치도 속초시,202402,81473,2091
강원특별자치도 속초시,202403,81292,2118
강원특별자치도 속초시,202404,81282,2089
강원특별자치도 속초시,202405,81201,2108
강원특별자치도 속초시,202406,81073,2174
강원특별자치도 속초시,202407,81085,2116
강원특별자치도 속초시,202408,80986,2109
강원특별자치도 속초시,202409,80829,2089
강원특별자치도 속초시,202410,80791,2099
강원특별자치도 속초시,202411,80640,2095
강원특별자치도 속초시,202412,80553,2107
강원특별자치도 속초시,202501,80376,2159
강원특별자치도 속초시,202502,80185,2161
강원특별자치도 속초시,202503,80006,2110
강원특별자치도 속초시,202504,79902,2100
강원특별자치도 속초시,202505,79787,2127
강원특별자치도 속초시,202506,79744,2128
강원특별자치도 속초시,202507,79764,2118
강원특별자치도 속초시,202508,79695,2062
강원특별자치도 속초시,202509,79608,2124
강원특별자치도 속초시,202510,79476,2154
강원특별자치도 속초시,202511,79401,2108
강원특별자치도 속초시,202512,79281,2155
강원특별자치도 속초시,202601,79229,2130
강원특별자치도 속초시,202602,78899,2152
강원특별자치도 속초시,202603,78633,2103
강원특별자치도 속초시,202604,78497,2115
강원특별자치도 속초시,202605,78466,2183
강원특별자치도 속초시,202606,78563,2107
강원특별자치도 속초시,202607,78645,2111
강원특별자치도 양구군,202307,21254,1442
강원특별자치도 양구군,202308,21223,1453
강원특별자치도 양구군,202309,21159,1482
강원특별자치도 양구군,202310,21146,1499
강원특별자치도 양구군,202311,21106,1475
강원특별자치도 양구군,202312,21024,1486
강원특별자치도 양구군,202401,20943,1503
강원특별자치도 양구군,202402,21018,1453
강원특별자치도 양구군,202403,20991,1483
강원특별자치도 양구군,202404,20912,1516
강원특별자치도 양구군,202405,20856,1528
강원특별자치도 양구군,202406,20855,1554
강원특별자치도 양구군,202407,20810,1558
강원특별자치도 양구군,202408,20746,1578
강원특별자치도 양구군,202409,20706,1552
강원특별자치도 양구군,202410,20660,1525
강원특별자치도 양구군,202411,20596,1560
강원특별자치도 양구군,202412,20586,1590
강원특별자치도 양구군,202501,20517,1575
강원특별자치도 양구군,202502,20383,1567
강원특별자치도 양구군,202503,20484,1626
강원특별자치도 양구군,202504,20475,1595
강원특별자치도 양구군,202505,20455,1654
강원특별자치도 양구군,202506,20439,1641
강원특별자치도 양구군,202507,20468,1629
강원특별자치도 양구군,202508,20446,1635
강원특별자치도 양구군,202509,20433,1657
강원특별자치도 양구군,202510,20436,1676
강원특별자치도 양구군,202511,20392,1708
강원특별자치도 양구군,202512,20377,1641
강원특별자치도 양구군,202601,20340,1708
강원특별자치도 양구군,202602,20349,1678
강원특별자치도 양구군,202603,20334,1688
강원특별자치도 양구군,202604,20315,1704
강원특별자치도 양구군,202605,20324,1703
강원특별자치도 양구군,202606,20337,1716
강원특별자치도 양구군,202607,20338,1764
강원특별자치도 양양군,202307,27740,1367
강원특별자치도 양양군,202308,27683,1337
강원특별자치도 양양군,202309,27674,1332
강원특별자치도 양양군,202310,27650,1344
강원특별자치도 양양군,202311,27621,1355
강원특별자치도 양양군,202312,27631,1342
강원특별자치도 양양군,202401,27605,1332
강원특별자치도 양양군,202402,27610,1378
강원특별자치도 양양군,202403,27568,1353
강원특별자치도 양양군,202404,27535,1333
강원특별자치도 양양군,202405,27501,1352
강원특별자치도 양양군,202406,27507,1348
강원특별자치도 양양군,202407,27508,1346
강원특별자치도 양양군,202408,27507,1326
강원특별자치도 양양군,202409,27511,1328
강원특별자치도 양양군,202410,27480,1326
강원특별자치도 양양군,202411,27416,1329
강원특별자치도 양양군,202412,27420,1298
강원특별자치도 양양군,202501,27402,1314
강원특별자치도 양양군,202502,27435,1324
강원특별자치도 양양군,202503,27383,1316
강원특별자치도 양양군,202504,27331,1304
강원특별자치도 양양군,202505,27290,1312
강원특별자치도 양양군,202506,27256,1316
강원특별자치도 양양군,202507,27267,1317
강원특별자치도 양양군,202508,27254,1309
강원특별자치도 양양군,202509,27280,1281
강원특별자치도 양양군,202510,27265,1282
강원특별자치도 양양군,202511,27274,1277
강원특별자치도 양양군,202512,27229,1280
강원특별자치도 양양군,202601,27290,1311
강원특별자치도 양양군,202602,27331,1268
강원특별자치도 양양군,202603,27305,1278
강원특별자치도 양양군,202604,27348,1277
강원특별자치도 양양군,202605,27361,1288
강원특별자치도 양양군,202606,27271,1295
강원특별자치도 양양군,202607,27252,1262
강원특별자치도 영월군,202307,37359,816
강원특별자치도 영월군,202308,37385,817
강원특별자치도 영월군,202309,37304,814
강원특별자치도 영월군,202310,37253,839
강원특별자치도 영월군,202311,37172,848
강원특별자치도 영월군,202312,37157,849
강원특별자치도 영월군,202401,37085,855
강원특별자치도 영월군,202402,37010,876
강원특별자치도 영월군,202403,37009,888
강원특별자치도 영월군,202404,36981,891
강원특별자치도 영월군,202405,36955,921
강원특별자치도 영월군,202406,36957,916
강원특별자치도 영월군,202407,36884,913
강원특별자치도 영월군,202408,36860,928
강원특별자치도 영월군,202409,36780,969
강원특별자치도 영월군,202410,36729,941
강원특별자치도 영월군,202411,36650,960
강원특별자치도 영월군,202412,36565,988
강원특별자치도 영월군,202501,36448,961
강원특별자치도 영월군,202502,36346,971
강원특별자치도 영월군,202503,36357,1000
강원특별자치도 영월군,202504,36293,1024
강원특별자치도 영월군,202505,36282,983
강원특별자치도 영월군,202506,36214,1027
강원특별자치도 영월군,202507,36166,1037
강원특별자치도 영월군,202508,36189,1052
강원특별자치도 영월군,202509,36153,1079
강원특별자치도 영월군,202510,36105,1060
강원특별자치도 영월군,202511,36020,1075
강원특별자치도 영월군,202512,35913,1088
강원특별자치도 영월군,202601,35858,1086
강원특별자치도 영월군,202602,35777,1118
강원특별자치도 영월군,202603,35728,1099
강원특별자치도 영월군,202604,35698,1152
강원특별자치도 영월군,202605,35618,1146
강원특별자치도 영월군,202606,35576,1142
강원특별자치도 영월군,202607,35545,1139
강원특별자치도 원주시,202307,359739,29362
강원특별자치도 원주시,202308,359915,29425
강원특별자치도 원주시,202309,359978,29855
강원특별자치도 원주시,202310,360110,29631
강원특별자치도 원주시,202311,360012,30196
강원특별자치도 원주시,202312,360066,30177
강원특별자치도 원주시,202401,360088,30582
강원특별자치도 원주시,202402,360074,31123
강원특별자치도 원주시,202403,359843,29993
강원특별자치도 원주시,202404,359849,31288
강원특별자치도 원주시,202405,359793,30778
강원특별자치도 원주시,202406,360073,31717
강원특별자치도 원주시,202407,360258,31653
강원특별자치도 원주시,202408,360547,31569
강원특별자치도 원주시,202409,360638,31937
강원특별자치도 원주시,202410,360750,31188
강원특별자치도 원주시,202411,360741,32197
강원특별자치도 원주시,202412,360697,31416
강원특별자치도 원주시,202501,360726,32317
강원특별자치도 원주시,202502,360648,31828
강원특별자치도 원주시,202503,360555,32804
강원특별자치도 원주시,202504,360724,33144
강원특별자치도 원주시,202505,360774,32958
강원특별자치도 원주시,202506,360980,33116
강원특별자치도 원주시,202507,361197,33213
강원특별자치도 원주시,202508,361393,34017
강원특별자치도 원주시,202509,361517,34204
강원특별자치도 원주시,202510,361632,34219
강원특별자치도 원주시,202511,361715,34000
강원특별자치도 원주시,202512,361841,34195
강원특별자치도 원주시,202601,362155,33942
강원특별자치도 원주시,202602,362329,34067
강원특별자치도 원주시,202603,362561,34358
강원특별자치도 원주시,202604,362964,34346
강원특별자치도 원주시,202605,363248,34973
강원특별자치도 원주시,202606,363501,34617
강원특별자치도 원주시,202607,363895,34849
강원특별자치도 인제군,202307,32037,1068
강원특별자치도 인제군,202308,32066,1051
강원특별자치도 인제군,202309,32045,1040
강원특별자치도 인제군,202310,31954,1054
강원특별자치도 인제군,202311,31913,1041
강원특별자치도 인제군,202312,31932,1063
강원특별자치도 인제군,202401,31923,1060
강원특별자치도 인제군,202402,31774,1047
강원특별자치도 인제군,202403,31690,1026
강원특별자치도 인제군,202404,31696,1046
강원특별자치도 인제군,202405,31691,1058
강원특별자치도 인제군,202406,31702,1056
강원특별자치도 인제군,202407,31655,1044
강원특별자치도 인제군,202408,31639,1083
강원특별자치도 인제군,202409,31582,1058
강원특별자치도 인제군,202410,31526,1041
강원특별자치도 인제군,202411,31469,1052
강원특별자치도 인제군,202412,31458,1068
강원특별자치도 인제군,202501,31310,1016
강원특별자치도 인제군,202502,31146,1046
강원특별자치도 인제군,202503,31074,1067
강원특별자치도 인제군,202504,31061,1023
강원특별자치도 인제군,202505,30997,1048
강원특별자치도 인제군,202506,30939,1044
강원특별자치도 인제군,202507,30893,1061
강원특별자치도 인제군,202508,30848,1024
강원특별자치도 인제군,202509,30838,1032
강원특별자치도 인제군,202510,30871,1026
강원특별자치도 인제군,202511,30804,1032
강원특별자치도 인제군,202512,30799,1042
강원특별자치도 인제군,202601,30751,1043
강원특별자치도 인제군,202602,30680,1028
강원특별자치도 인제군,202603,30695,1042
강원특별자치도 인제군,202604,30708,1034
강원특별자치도 인제군,202605,30689,1029
강원특별자치도 인제군,202606,30708,1046
강원특별자치도 인제군,202607,30714,1034
강원특별자치도 정선군,202307,34477,1987
강원특별자치도 정선군,202308,34423,1996
강원특별자치도 정선군,202309,34358,2018
강원특별자치도 정선군,202310,34213,2028
강원특별자치도 정선군,202311,34154,2032
강원특별자치도 정선군,202312,34082,2087
강원특별자치도 정선군,202401,34024,2058
강원특별자치도 정선군,202402,33940,2062
강원특별자치도 정선군,202403,33874,2100
강원특별자치도 정선군,202404,33835,2112
강원특별자치도 정선군,202405,33766,2138
강원특별자치도 정선군,202406,33696,2075
강원특별자치도 정선군,202407,33649,2112
강원특별자치도 정선군,202408,33604,2130
강원특별자치도 정선군,202409,33548,2178
강원특별자치도 정선군,202410,33501,2195
강원특별자치도 정선군,202411,33445,2244
강원특별자치도 정선군,202412,33381,2284
강원특별자치도 정선군,202501,33354,2181
강원특별자치도 정선군,202502,33280,2305
강원특별자치도 정선군,202503,33248,2235
강원특별자치도 정선군,202504,33257,2283
강원특별자치도 정선군,202505,33225,2267
강원특별자치도 정선군,202506,33231,2292
강원특별자치도 정선군,202507,33201,2350
강원특별자치도 정선군,202508,33172,2310
강원특별자치도 정선군,202509,33160,2366
강원특별자치도 정선군,202510,33506,2320
강원특별자치도 정선군,202511,34343,2313
강원특별자치도 정선군,202512,34771,2398
강원특별자치도 정선군,202601,34877,2364
강원특별자치도 정선군,202602,34900,2405
강원특별자치도 정선군,202603,34953,2362
강원특별자치도 정선군,202604,34978,2385
강원특별자치도 정선군,202605,35015,2380
강원특별자치도 정선군,202606,35037,2428
강원특별자치도 정선군,202607,35054,2472
강원특별자치도 철원군,202307,41553,3003
강원특별자치도 철원군,202308,41463,2965
강원특별자치도 철원군,202309,41418,3006
강원특별자치도 철원군,202310,41403,2983
강원특별자치도 철원군,202311,41373,2998
강원특별자치도 철원군,202312,41349,2985
강원특별자치도 철원군,202401,41221,3016
강원특별자치도 철원군,202402,41080,2956
강원특별자치도 철원군,202403,41019,2987
강원특별자치도 철원군,202404,40968,3018
강원특별자치도 철원군,202405,40907,3059
강원특별자치도 철원군,202406,40792,3029
강원특별자치도 철원군,202407,40695,3086
강원특별자치도 철원군,202408,40591,3069
강원특별자치도 철원군,202409,40551,3029
강원특별자치도 철원군,202410,40517,2965
강원특별자치도 철원군,202411,40443,3034
강원특별자치도 철원군,202412,40402,3056
강원특별자치도 철원군,202501,40313,3041
강원특별자치도 철원군,202502,40142,3045
강원특별자치도 철원군,202503,40088,3021
강원특별자치도 철원군,202504,40036,3040
강원특별자치도 철원군,202505,39966,3054
강원특별자치도 철원군,202506,39900,3060
강원특별자치도 철원군,202507,39938,3158
강원특별자치도 철원군,202508,39912,3080
강원특별자치도 철원군,202509,39900,3109
강원특별자치도 철원군,202510,39897,3080
강원특별자치도 철원군,202511,39913,3042
강원특별자치도 철원군,202512,39889,3061
강원특별자치도 철원군,202601,39865,3072
강원특별자치도 철원군,202602,39728,3112
강원특별자치도 철원군,202603,39712,3146
강원특별자치도 철원군,202604,39690,3107
강원특별자치도 철원군,202605,39637,3075
강원특별자치도 철원군,202606,39622,3097
강원특별자치도 철원군,202607,39575,3139
강원특별자치도 춘천시,202307,285777,13405
강원특별자치도 춘천시,202308,285853,13434
강원특별자치도 춘천시,202309,285829,13504
강원특별자치도 춘천시,202310,285567,13306
강원특별자치도 춘천시,202311,285455,13746
강원특별자치도 춘천시,202312,285328,13869
강원특별자치도 춘천시,202401,285091,13918
강원특별자치도 춘천시,202402,285181,14060
강원특별자치도 춘천시,202403,285643,14027
강원특별자치도 춘천시,202404,285633,14018
강원특별자치도 춘천시,202405,285631,14070
강원특별자치도 춘천시,202406,285476,14621
강원특별자치도 춘천시,202407,285279,14577
강원특별자치도 춘천시,202408,285172,14692
강원특별자치도 춘천시,202409,285071,15020
강원특별자치도 춘천시,202410,284933,15071
강원특별자치도 춘천시,202411,285037,15211
강원특별자치도 춘천시,202412,284999,15098
강원특별자치도 춘천시,202501,284800,15398
강원특별자치도 춘천시,202502,284952,15243
강원특별자치도 춘천시,202503,284704,15584
강원특별자치도 춘천시,202504,284508,15672
강원특별자치도 춘천시,202505,284404,15699
강원특별자치도 춘천시,202506,284317,15700
강원특별자치도 춘천시,202507,284188,15522
강원특별자치도 춘천시,202508,284141,15856
강원특별자치도 춘천시,202509,284121,15704
강원특별자치도 춘천시,202510,284109,16128
강원특별자치도 춘천시,202511,284202,16101
강원특별자치도 춘천시,202512,284154,16174
강원특별자치도 춘천시,202601,283811,16626
강원특별자치도 춘천시,202602,283775,16142
강원특별자치도 춘천시,202603,283845,16701
강원특별자치도 춘천시,202604,283900,16897
강원특별자치도 춘천시,202605,284102,16639
강원특별자치도 춘천시,202606,283964,16897
강원특별자치도 춘천시,202607,283790,16818
강원특별자치도 태백시,202307,38746,1333
강원특별자치도 태백시,202308,38639,1351
강원특별자치도 태백시,202309,38617,1361
강원특별자치도 태백시,202310,38610,1344
강원특별자치도 태백시,202311,38583,1342
강원특별자치도 태백시,202312,38579,1331
강원특별자치도 태백시,202401,38493,1315
강원특별자치도 태백시,202402,38345,1315
강원특별자치도 태백시,202403,38234,1312
강원특별자치도 태백시,202404,38154,1313
강원특별자치도 태백시,202405,38088,1315
강원특별자치도 태백시,202406,38045,1342
강원특별자치도 태백시,202407,38023,1303
강원특별자치도 태백시,202408,37980,1307
강원특별자치도 태백시,202409,37989,1341
강원특별자치도 태백시,202410,37931,1283
강원특별자치도 태백시,202411,37884,1317
강원특별자치도 태백시,202412,37823,1333
강원특별자치도 태백시,202501,37762,1290
강원특별자치도 태백시,202502,37622,1288
강원특별자치도 태백시,202503,37602,1286
강원특별자치도 태백시,202504,37530,1298
강원특별자치도 태백시,202505,37474,1295
강원특별자치도 태백시,202506,37443,1267
강원특별자치도 태백시,202507,37388,1278
강원특별자치도 태백시,202508,37326,1280
강원특별자치도 태백시,202509,37267,1263
강원특별자치도 태백시,202510,37197,1249
강원특별자치도 태백시,202511,37026,1276
강원특별자치도 태백시,202512,36989,1256
강원특별자치도 태백시,202601,36875,1252
강원특별자치도 태백시,202602,36788,1257
강원특별자치도 태백시,202603,36766,1267
강원특별자치도 태백시,202604,36759,1279
강원특별자치도 태백시,202605,36762,1257
강원특별자치도 태백시,202606,36721,1247
강원특별자치도 태백시,202607,36664,1234
강원특별자치도 평창군,202307,40598,2973
강원특별자치도 평창군,202308,40567,3041
강원특별자치도 평창군,202309,40538,2941
강원특별자치도 평창군,202310,40514,3077
강원특별자치도 평창군,202311,40551,3006
강원특별자치도 평창군,202312,40529,2991
강원특별자치도 평창군,202401,40514,3041
강원특별자치도 평창군,202402,40436,2945
강원특별자치도 평창군,202403,40408,3028
강원특별자치도 평창군,202404,40410,3013
강원특별자치도 평창군,202405,40401,3083
강원특별자치도 평창군,202406,40386,2954
강원특별자치도 평창군,202407,40389,3038
강원특별자치도 평창군,202408,40342,3041
강원특별자치도 평창군,202409,40329,3028
강원특별자치도 평창군,202410,40308,3119
강원특별자치도 평창군,202411,40256,3050
강원특별자치도 평창군,202412,40246,3032
강원특별자치도 평창군,202501,40163,2996
강원특별자치도 평창군,202502,40048,3038
강원특별자치도 평창군,202503,39954,3087
강원특별자치도 평창군,202504,39903,3067
강원특별자치도 평창군,202505,39878,3094
강원특별자치도 평창군,202506,39832,3141
강원특별자치도 평창군,202507,39780,3056
강원특별자치도 평창군,202508,39779,3088
강원특별자치도 평창군,202509,39759,3068
강원특별자치도 평창군,202510,39716,3109
강원특별자치도 평창군,202511,39704,3102
강원특별자치도 평창군,202512,39701,3161
강원특별자치도 평창군,202601,39802,3057
강원특별자치도 평창군,202602,39819,3091
강원특별자치도 평창군,202603,39725,3108
강원특별자치도 평창군,202604,39771,3186
강원특별자치도 평창군,202605,39780,3134
강원특별자치도 평창군,202606,39758,3147
강원특별자치도 평창군,202607,39726,3169
강원특별자치도 홍천군,202307,67401,3749
강원특별자치도 홍천군,202308,67353,3763
강원특별자치도 홍천군,202309,67315,3755
강원특별자치도 홍천군,202310,67153,3847
강원특별자치도 홍천군,202311,67100,3773
강원특별자치도 홍천군,202312,67117,3852
강원특별자치도 홍천군,202401,67161,3896
강원특별자치도 홍천군,202402,67103,4009
강원특별자치도 홍천군,202403,67092,4068
강원특별자치도 홍천군,202404,67017,3979
강원특별자치도 홍천군,202405,67047,3962
강원특별자치도 홍천군,202406,67010,4022
강원특별자치도 홍천군,202407,66981,4112
강원특별자치도 홍천군,202408,66928,4059
강원특별자치도 홍천군,202409,66870,4077
강원특별자치도 홍천군,202410,66735,4152
강원특별자치도 홍천군,202411,66597,4098
강원특별자치도 홍천군,202412,66502,4149
강원특별자치도 홍천군,202501,66445,4209
강원특별자치도 홍천군,202502,66317,4137
강원특별자치도 홍천군,202503,66276,4230
강원특별자치도 홍천군,202504,66210,4211
강원특별자치도 홍천군,202505,66212,4286
강원특별자치도 홍천군,202506,66201,4287
강원특별자치도 홍천군,202507,66180,4366
강원특별자치도 홍천군,202508,66121,4391
강원특별자치도 홍천군,202509,66134,4321
강원특별자치도 홍천군,202510,66004,4377
강원특별자치도 홍천군,202511,65929,4502
강원특별자치도 홍천군,202512,65905,4437
강원특별자치도 홍천군,202601,65810,4374
강원특별자치도 홍천군,202602,65740,4472
강원특별자치도 홍천군,202603,65764,4484
강원특별자치도 홍천군,202604,65738,4501
강원특별자치도 홍천군,202605,65696,4658
강원특별자치도 홍천군,202606,65659,4493
강원특별자치도 홍천군,202607,65616,4692
강원특별자치도 화천군,202307,23091,1991
강원특별자치도 화천군,202308,23060,2022
강원특별자치도 화천군,202309,23046,2032
강원특별자치도 화천군,202310,23056,1991
강원특별자치도 화천군,202311,22952,1968
강원특별자치도 화천군,202312,22944,1961
강원특별자치도 화천군,202401,22882,1963
강원특별자치도 화천군,202402,22800,1978
강원특별자치도 화천군,202403,22771,1975
강원특별자치도 화천군,202404,22763,1999
강원특별자치도 화천군,202405,22723,1992
강원특별자치도 화천군,202406,22897,1979
강원특별자치도 화천군,202407,22963,1964
강원특별자치도 화천군,202408,22929,2001
강원특별자치도 화천군,202409,22908,1961
강원특별자치도 화천군,202410,22923,1974
강원특별자치도 화천군,202411,22917,1964
강원특별자치도 화천군,202412,22863,1994
강원특별자치도 화천군,202501,22706,1923
강원특별자치도 화천군,202502,22554,1962
강원특별자치도 화천군,202503,22551,1985
강원특별자치도 화천군,202504,22539,1954
강원특별자치도 화천군,202505,22503,1990
강원특별자치도 화천군,202506,22492,1951
강원특별자치도 화천군,202507,22528,1958
강원특별자치도 화천군,202508,22466,1963
강원특별자치도 화천군,202509,22445,1889
강원특별자치도 화천군,202510,22374,1979
강원특별자치도 화천군,202511,22309,1931
강원특별자치도 화천군,202512,22309,1984
강원특별자치도 화천군,202601,22279,1928
강원특별자치도 화천군,202602,22226,1944
강원특별자치도 화천군,202603,22234,1993
강원특별자치도 화천군,202604,22277,1915
강원특별자치도 화천군,202605,22271,1942
강원특별자치도 화천군,202606,22524,1954
강원특별자치도 화천군,202607,22717,1966
강원특별자치도 횡성군,202307,46388,2742
강원특별자치도 횡성군,202308,46361,2705
강원특별자치도 횡성군,202309,46311,2756
강원특별자치도 횡성군,202310,46270,2763
강원특별자치도 횡성군,202311,46287,2758
강원특별자치도 횡성군,202312,46217,2723
강원특별자치도 횡성군,202401,46124,2771
강원특별자치도 횡성군,202402,46122,2749
강원특별자치도 횡성군,202403,46056,2773
강원특별자치도 횡성군,202404,46217,2767
강원특별자치도 횡성군,202405,46222,2743
강원특별자치도 횡성군,202406,46189,2756
강원특별자치도 횡성군,202407,46177,2760
강원특별자치도 횡성군,202408,46108,2754
강원특별자치도 횡성군,202409,46098,2762
강원특별자치도 횡성군,202410,46093,2779
강원특별자치도 횡성군,202411,46006,2777
강원특별자치도 횡성군,202412,45959,2779
강원특별자치도 횡성군,202501,45889,2755
강원특별자치도 횡성군,202502,45832,2800
강원특별자치도 횡성군,202503,45849,2799
강원특별자치도 횡성군,202504,45867,2744
강원특별자치도 횡성군,202505,45819,2708
강원특별자치도 횡성군,202506,45729,2788
강원특별자치도 횡성군,202507,45681,2769
강원특별자치도 횡성군,202508,45684,2763
강원특별자치도 횡성군,202509,45623,2774
강원특별자치도 횡성군,202510,45618,2768
